PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON
1631260,AJ Green,AJ,1610612749,MIL,26.0,20,8,12,0.4,29.3,3.6,7.4,0.483,3.3,6.8,0.481,0.8,1.1,0.762,0.1,2.8,2.9,2.0,0.8,0.6,0.1,0.2,3.0,1.5,11.2,-0.9,18.6,0,0,20.5,1,165,60,298,105,192,204,184,11,41,42,282,290,250,444,185,254,200,279,269,393,360,44,207,164,267,220,140,16,182,1,2025-26
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,9,0,9,0.0,4.8,0.2,1.3,0.167,0.0,0.3,0.0,0.3,0.4,0.75,0.2,0.4,0.7,0.4,0.2,0.0,0.0,0.4,0.3,0.3,0.8,-1.9,2.0,0,0,1.9,340,463,115,463,445,470,445,468,410,422,410,373,381,258,406,445,445,405,423,436,397,182,458,399,470,310,470,140,16,473,1,2025-26
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,6.3,11.8,0.532,2.2,4.8,0.444,4.0,4.6,0.867,1.5,4.5,5.9,1.3,1.4,0.8,0.2,0.4,1.8,3.4,18.8,12.7,29.5,2,0,30.2,272,100,352,67,119,71,99,85,67,111,63,51,55,104,99,67,74,278,154,193,259,216,238,69,57,4,105,60,16,84,1,2025-26
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,11,10,1,0.909,13.4,2.5,5.5,0.443,1.5,3.6,0.425,1.5,1.7,0.895,0.2,0.5,0.7,1.1,0.8,0.4,0.1,0.2,1.2,1.5,8.0,5.3,11.1,0,0,12.3,314,100,420,37,321,262,253,290,139,166,84,174,194,75,417,433,443,303,277,349,363,336,338,206,235,63,320,140,16,301,1,2025-26
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,4.9,13.4,0.367,2.8,7.5,0.373,2.8,3.5,0.795,1.5,2.9,4.5,1.5,0.7,0.8,0.3,0.9,2.5,3.5,15.5,-3.9,25.7,0,0,26.5,314,423,98,456,83,120,71,399,26,25,159,85,90,207,87,179,147,249,295,171,231,40,104,65,100,397,135,140,16,118,1,2025-26
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,9,8,1,0.889,27.6,5.7,12.3,0.459,2.8,6.7,0.417,0.7,1.0,0.667,1.0,2.7,3.7,2.2,1.0,0.4,0.8,0.4,2.2,0.7,14.8,10.0,25.2,0,0,25.9,340,165,420,38,131,92,84,240,29,43,90,300,291,341,159,194,190,172,223,321,74,182,148,340,105,14,141,140,16,124,1,2025-26
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,18,6,12,0.333,21.3,3.7,8.3,0.447,1.3,3.8,0.338,0.9,1.1,0.842,1.7,1.8,3.4,1.7,1.3,0.8,0.2,0.2,2.3,0.9,9.6,-5.7,18.1,0,0,18.1,80,226,60,325,223,180,170,272,169,161,230,264,288,142,75,285,205,225,171,157,301,317,136,300,196,436,228,140,16,218,1,2025-26
1641737,Adem Bona,Adem,1610612755,PHI,22.0,13,8,5,0.615,15.4,1.2,2.1,0.556,0.1,0.2,0.5,0.6,1.2,0.5,1.3,2.3,3.6,0.2,0.7,0.4,1.8,0.2,1.7,1.3,3.0,-1.9,13.5,0,0,11.2,272,165,257,174,295,368,407,65,402,434,24,314,262,396,120,233,192,441,302,342,9,314,274,230,372,312,291,140,16,312,1,2025-26
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,3,3,0,1.0,3.1,0.7,0.7,1.0,0.0,0.0,0.0,0.7,0.7,1.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.3,2.0,-2.0,2.4,0,0,2.3,440,323,458,1,471,425,467,1,410,442,410,300,338,1,356,466,462,454,446,436,397,410,360,399,417,317,468,140,16,467,1,2025-26
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,20,19,1,0.95,26.4,5.5,12.0,0.458,1.1,3.4,0.328,3.1,3.6,0.859,0.6,2.8,3.4,3.7,1.7,1.6,0.3,0.5,2.1,3.4,15.2,9.6,28.7,1,0,27.1,1,1,420,27,146,95,91,245,204,185,259,79,89,114,270,185,211,80,120,26,213,147,179,68,101,17,109,92,16,114,1,2025-26
201143,Al Horford,Al,1610612744,GSW,39.0,12,7,5,0.583,21.8,2.0,5.8,0.343,1.3,4.2,0.32,0.5,0.5,1.0,0.9,3.3,4.3,1.8,1.3,1.0,1.0,0.3,1.6,0.5,5.8,-4.4,18.4,0,0,17.3,291,206,257,204,214,296,242,427,164,148,273,336,365,1,186,140,157,211,161,101,41,291,284,366,294,415,223,140,16,228,1,2025-26
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,15,15,0,1.0,18.8,2.0,5.0,0.4,1.1,3.2,0.354,0.5,0.7,0.8,0.3,2.1,2.4,2.5,1.0,1.6,0.3,0.3,1.1,1.0,5.7,11.3,17.1,0,0,15.6,208,8,458,1,251,296,276,360,199,193,197,332,338,189,356,255,291,152,223,26,195,233,349,273,297,7,239,140,16,253,1,2025-26
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,16,2,14,0.125,29.7,7.8,15.1,0.515,1.1,3.3,0.346,2.4,3.8,0.639,2.4,6.2,8.6,3.3,2.1,0.8,2.0,1.3,2.1,3.3,19.1,-6.4,40.5,6,0,37.6,177,369,30,443,96,31,43,107,201,189,209,105,80,370,35,27,25,106,72,175,3,9,184,74,55,454,32,24,16,36,1,2025-26
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,16,12,4,0.75,36.6,8.0,16.6,0.483,1.2,2.9,0.404,4.8,6.6,0.726,3.0,6.4,9.4,7.1,3.4,1.1,0.9,1.3,3.3,5.8,22.0,7.8,46.5,9,0,43.7,177,41,302,70,7,26,31,183,192,218,109,37,29,295,24,20,19,17,13,79,59,7,21,19,31,26,12,9,16,15,1,2025-26
1642873,Amari Williams,Amari,1610612738,BOS,23.0,3,1,2,0.333,7.4,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.5,0.3,1.3,1.7,0.3,0.0,0.3,0.7,0.3,0.7,0.7,1.0,-0.3,6.5,0,0,5.0,440,423,390,325,415,464,467,125,410,442,410,373,338,396,356,339,363,416,446,355,91,233,411,340,463,238,390,140,16,415,1,2025-26
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,16,12,4,0.75,36.6,6.9,14.4,0.478,0.5,2.3,0.222,3.2,4.0,0.797,2.5,4.4,6.9,5.1,2.3,1.4,0.4,1.2,2.6,3.0,17.4,9.5,36.6,3,0,33.6,177,41,302,70,8,49,56,194,301,258,372,75,67,205,31,76,47,45,62,42,154,12,79,88,72,18,50,44,16,60,1,2025-26
1629599,Amir Coffey,Amir,1610612749,MIL,28.0,15,7,8,0.467,8.9,0.6,1.4,0.429,0.2,0.6,0.333,0.2,0.2,1.0,0.3,0.7,0.9,0.5,0.1,0.0,0.1,0.1,0.4,0.2,1.6,-1.5,3.7,0,0,3.4,208,206,131,279,393,436,443,318,377,400,236,411,431,1,392,419,427,393,444,436,379,397,455,436,445,293,451,140,16,455,1,2025-26
203083,Andre Drummond,Andre,1610612755,PHI,32.0,17,10,7,0.588,23.4,3.2,5.9,0.55,0.6,1.4,0.435,1.1,1.8,0.633,3.4,6.9,10.3,0.7,0.9,0.7,1.0,0.3,2.2,1.6,8.2,0.7,25.8,7,0,23.2,143,100,179,201,197,208,241,74,285,331,72,224,190,372,15,17,12,360,265,222,41,263,147,195,230,195,133,17,16,153,1,2025-26
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,24.0,8,2,6,0.25,7.3,0.4,1.6,0.231,0.3,1.0,0.25,0.1,0.3,0.5,0.4,0.4,0.8,1.6,0.5,0.5,0.1,0.0,1.1,0.4,1.1,-0.5,5.8,0,0,5.0,359,369,209,375,418,460,432,462,366,356,350,427,421,396,341,449,438,241,340,288,335,410,350,395,462,251,406,140,16,415,1,2025-26
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,11,1,10,0.091,30.8,5.5,13.8,0.395,1.8,5.5,0.333,4.7,5.4,0.881,0.3,1.5,1.8,6.2,2.4,0.9,0.2,0.5,2.5,3.9,17.5,-11.1,29.8,0,0,29.5,314,423,98,456,78,99,65,368,100,79,236,39,42,87,390,312,349,28,55,142,293,132,91,57,71,476,98,140,16,93,1,2025-26
203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,16,10,6,0.625,32.9,6.5,13.7,0.475,1.8,5.0,0.35,1.6,2.5,0.65,1.5,3.3,4.8,2.8,1.9,1.1,1.0,0.7,2.6,2.2,16.4,-0.6,30.5,0,0,29.8,177,100,209,163,48,64,67,207,110,102,202,162,132,362,91,149,130,131,96,95,41,80,79,130,83,253,88,140,16,88,1,2025-26
1629014,Anfernee Simons,Anfernee,1610612738,BOS,26.0,18,10,8,0.556,24.2,4.9,11.2,0.438,2.6,6.4,0.409,1.5,1.7,0.871,0.3,2.0,2.3,2.7,1.4,0.4,0.2,0.5,2.2,1.2,13.9,0.6,21.3,0,0,22.8,80,100,131,217,184,121,107,303,38,52,104,178,195,99,356,260,296,142,148,321,260,147,166,242,114,200,182,140,16,160,1,2025-26
1641710,Anthony Black,Anthony,1610612753,ORL,21.0,20,12,8,0.6,27.4,4.8,10.0,0.477,1.2,3.5,0.343,2.3,3.4,0.676,0.5,2.5,3.0,2.8,2.1,1.5,0.6,0.8,2.6,2.8,13.0,2.0,24.9,0,0,24.2,1,41,131,183,134,125,132,202,186,172,219,111,96,337,287,217,247,132,80,38,105,60,84,100,125,147,144,140,16,143,1,2025-26
